"ISIN","Symbol","ConId","Currency","PrimaryExchange","BestExchange","Rows","FirstDate","LastDate","LastClose"
"IE00BL25JM42","XDEV","167234541","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","73.23"
"IE00BL25JP72","XDEM","167234535","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","86.04"
"IE00BLLZQ805","MAGR","473275592","EUR","EBS","SMART","90","2026-04-10","2026-08-14","8.638"
"IE00BLLZQS08","MODR","559712890","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","6.891"
"IE00BLNN3691","0WE","156106251","EUR","FWB","SMART","57","2026-04-08","2026-08-11","80.46"
"IE00BLP53M98","MACV","559712895","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","5.416"
"IE00BLP58571","IR5B","153453487","EUR","GETTEX","SMART","90","2026-04-10","2026-08-14","7.66"
"IE00BMP3HG27","UBUM","167908611","EUR","IBIS","SMART","90","2026-04-10","2026-08-14","11.418"
"IE00BMVB5M21","V40A","459873559","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","31.29"
"IE00BMVB5N38","V40D","459873560","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","27.21"
"IE00BMVB5P51","V60A","459873565","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","37.31"
"IE00BMX0B524","VGUE","603514567","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","19.9816"
"IE00BP46NG52","ZPR5","173705276","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","23.43"
"IE00BP8FKB21","XREA","167234547","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","57.3"
"IE00BQWJFQ70","ZPRI","190334381","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","33.2"
"IE00BQXKVQ19","XGLF","184376112","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","24.25"
"IE00BRB36B93","XDNE","190596868","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","45.66"
"IE00BS7K8821","SYB4","175925316","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","28.665"
"IE00BSJCQV56","ZPRP","202915607","EUR","EBS","SMART","92","2026-04-08","2026-08-14","29.156"
"IE00BSKRK281","IS06","182877133","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","4.8049"
"IE00BVGC6645","NS4E","187031021","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","47.844"
"IE00BWT6H894","PPB","190477923","EUR","FWB2","SMART","90","2026-04-10","2026-08-14","86.6"
"IE00BWTNM966","FTGG","421799257","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","35.984"
"IE00BWY4ZF18","C5H","196689607","EUR","GETTEX","SMART","90","2026-04-10","2026-08-14","2.626"
"IE00BX7RQY03","UBUR","207609389","EUR","IBIS","SMART","80","2026-04-10","2026-08-12","30.86"
"IE00BX7RR706","UBUS","207609378","EUR","IBIS","SMART","86","2026-04-10","2026-08-14","37.344"
"IE00BYSZ5R67","SPP3","222680370","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","23.698"
"IE00BYSZ5V04","SPPX","222680358","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","17.061"
"IE00BYSZ6062","SYBV","222680361","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","21.941"
"IE00BYV1Y969","FUSU","297267212","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","12.44"
"IE00BYV1YH46","FGEU","298224063","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","10.154"
"IE00BYVTMZ20","FAEU","293012674","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","28.12"
"IE00BYXPXL17","SXR0","278157803","CHF","EBS","SMART","23","2026-04-08","2026-08-05","8.17"
"IE00BYXVGZ48","FGEQ","271826661","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","10.304"
"IE00BYYHSM20","QDVX","279156979","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","7.324"
"IE00BYYLVJ24","BCFE","279064259","EUR","IBIS","SMART","80","2026-04-10","2026-08-12","18.396"
"IE00BZ173V67","3SUR","403248173","EUR","IBIS2","SMART","90","2026-04-10","2026-08-14","2281"
"IE00BZ2GV965","UEQU","232646334","EUR","IBIS","SMART","83","2026-04-10","2026-08-14","262.26"
"IL0010823792","TOW","75057218","EUR","FWB","SMART","92","2026-04-08","2026-08-14","230"
"IL0010958192","IW2","80701704","EUR","FWB","SMART","66","2026-04-10","2026-08-13","8.276"
"IT0000060886","FNM1","138012968","EUR","BVME","SMART","90","2026-04-10","2026-08-14","0.4686"
"IT0001006128","ADB1","199829872","EUR","BVME","SMART","90","2026-04-10","2026-08-14","10.1"
"IT0001237053","EM","26319147","EUR","BVME","SMART","90","2026-04-10","2026-08-14","0.844"
"IT0001384590","AEF","80316786","EUR","BVME","SMART","90","2026-04-10","2026-08-14","0.155"
"IT0001454435","TXT1","106658975","EUR","BVME","SMART","90","2026-04-10","2026-08-14","53.3"
"IT0001469383","MN","11516712","EUR","BVME","SMART","90","2026-04-10","2026-08-14","2.176"
"IT0003056386","PINF","26319414","EUR","BVME","SMART","89","2026-04-10","2026-08-14","0.826"
"IT0003057624","ITW","80814560","EUR","BVME","SMART","88","2026-04-10","2026-08-14","0.96"
"IT0003127930","CALT","26319054","EUR","BVME","SMART","90","2026-04-10","2026-08-14","10.38"
"IT0003404214","ELC","285542391","EUR","BVME","SMART","87","2026-04-10","2026-08-14","1.156"
"IT0003428445","MARR","73200415","EUR","BVME","SMART","90","2026-04-10","2026-08-14","6.45"
"IT0003621783","SSL","136242807","EUR","BVME","SMART","90","2026-04-10","2026-08-14","1.65"
"IT0003850929","PRT","42889792","EUR","BVME","SMART","90","2026-04-10","2026-08-14","7.18"
"IT0003895668","ETH","73400808","EUR","BVME","SMART","90","2026-04-10","2026-08-14","1.35"
"IT0004053440","DAL","106619207","EUR","BVME","SMART","90","2026-04-10","2026-08-14","5.67"
"IT0004093263","ASC","76815481","EUR","BVME","SMART","90","2026-04-10","2026-08-14","2.794"
"IT0004171440","ZV","76815157","EUR","BVME","SMART","90","2026-04-10","2026-08-14","6.915"
"IT0004195308","MOL","76815463","EUR","BVME","SMART","90","2026-04-10","2026-08-14","39.36"
"IT0004329733","CAI1","76817002","EUR","BVME","SMART","90","2026-04-10","2026-08-14","2.376"
"IT0004931496","RCS","128647420","EUR","BVME","SMART","90","2026-04-10","2026-08-14","0.932"
