ISIN,Status,conId,Symbol,LocalSymbol,SecurityType,PrimaryExchange,Exchange,Currency,LongName,FirstHistoricalDate,ContractMatches,Error
AU000000DTL4,NO_HEAD_TIMESTAMP,14062993,DTL,DTL,STK,ASX,SMART,AUD,DATA#3 LIMITED,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DTZ4,NO_HEAD_TIMESTAMP,254134438,DTZ,DTZ,STK,ASX,SMART,AUD,DOTZ NANO LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DUB3,NO_HEAD_TIMESTAMP,178891941,DUB,DUB,STK,ASX,SMART,AUD,DUBBER CORP LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DXS1,NO_HEAD_TIMESTAMP,49281421,DXS,DXS,STK,ASX,SMART,AUD,DEXUS/AU,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000DYL4,NO_HEAD_TIMESTAMP,44200604,DYL,DYL,STK,ASX,SMART,AUD,DEEP YELLOW LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000EHL7,NO_HEAD_TIMESTAMP,41179280,EHL,EHL,STK,ASX,SMART,AUD,EMECO HOLDINGS LIMITED,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ELD6,NO_HEAD_TIMESTAMP,59696057,ELD,ELD,STK,ASX,SMART,AUD,ELDERS LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ELT2,NO_HEAD_TIMESTAMP,71336924,ELT,ELT,STK,ASX,SMART,AUD,ELEMENTOS LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000EMH5,NO_HEAD_TIMESTAMP,147967929,EMH,EMH,STK,ASX,SMART,AUD,EUROPEAN METALS HOLDINGS-DI,,3,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000EML7,NO_HEAD_TIMESTAMP,117704219,EML,EML,STK,ASX,SMART,AUD,EML PAYMENTS LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ENT8,NO_HEAD_TIMESTAMP,56464226,ENT,ENT,STK,ASX,SMART,AUD,ENTERPRISE METALS LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000EPM8,NO_HEAD_TIMESTAMP,110321639,EPM,EPM,STK,ASX,SMART,AUD,ECLIPSE METALS LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ERA9,NO_HEAD_TIMESTAMP,14063213,ERA,ERA,STK,ASX,SMART,AUD,ENERGY RESOURCES OF AUST,,3,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000ERM4,NOT_FOUND,,,,,,,,,,0,200: Es wurde keine Wertpapierdefinition zu der Anfrage gefunden
AU000000EUR7,NO_HEAD_TIMESTAMP,247671893,EUR,EUR,STK,ASX,SMART,AUD,EUROPEAN LITHIUM LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000EVN4,NO_HEAD_TIMESTAMP,96616475,EVN,EVN,STK,ASX,SMART,AUD,EVOLUTION MINING LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000EXL4,NO_HEAD_TIMESTAMP,301916290,EXL,EXL,STK,ASX,SMART,AUD,ELIXINOL WELLNESS LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000FFG8,NO_HEAD_TIMESTAMP,160813365,FFG,FFG,STK,ASX,SMART,AUD,FATFISH GROUP LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000FGR3,NO_HEAD_TIMESTAMP,214124256,FGR,FGR,STK,ASX,SMART,AUD,FIRST GRAPHENE LTD,,3,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000FLC5,NO_HEAD_TIMESTAMP,282739470,FLC,FLC,STK,ASX,SMART,AUD,FLUENCE CORP LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000FLT9,NO_HEAD_TIMESTAMP,14063411,FLT,FLT,STK,ASX,SMART,AUD,FLIGHT CENTRE TRAVEL GROUP L,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000FMG4,NO_HEAD_TIMESTAMP,34805876,FMG,FMG,STK,ASX,SMART,AUD,FORTESCUE LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000FML4,NO_HEAD_TIMESTAMP,44201031,FML,FML,STK,ASX,SMART,AUD,FOCUS MINERALS LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000FZR3,NO_HEAD_TIMESTAMP,118048405,FZR,FZR,STK,ASX,SMART,AUD,FITZROY RIVER CORP LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000GBE0,NO_HEAD_TIMESTAMP,44200915,GBE,GBE,STK,ASX,SMART,AUD,GLOBE METALS AND MINING LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000GEM7,NO_HEAD_TIMESTAMP,75995913,GEM,GEM,STK,ASX,SMART,AUD,G8 EDUCATION LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000GNC9,NO_HEAD_TIMESTAMP,14063656,GNC,GNC,STK,ASX,SMART,AUD,GRAINCORP LTD-A,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000GRR8,NO_HEAD_TIMESTAMP,44201089,GRR,GRR,STK,ASX,SMART,AUD,GRANGE RESOURCES LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000HAS0,NO_HEAD_TIMESTAMP,85389354,HAS,HAS,STK,ASX,SMART,AUD,HASTINGS TECHNOLOGY METALS L,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000HAV4,NO_HEAD_TIMESTAMP,44201119,HAV,HAV,STK,ASX,SMART,AUD,HAVILAH RESOURCES LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000HFR1,NO_HEAD_TIMESTAMP,101987734,HFR,HFR,STK,ASX,SMART,AUD,HIGHFIELD RESOURCES LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000HLO6,NO_HEAD_TIMESTAMP,139551479,HLO,HLO,STK,ASX,SMART,AUD,HELLOWORLD TRAVEL LTD,,2,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000HMX5,NO_HEAD_TIMESTAMP,149525023,HMX,HMX,STK,ASX,SMART,AUD,HAMMER METALS LTD,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU000000HRN5,NO_HEAD_TIMESTAMP,259933907,HRN,HRN,STK,ASX,SMART,AUD,HORIZON GOLD LIMITED,,1,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
