ISIN,conId,Symbol,Currency,Status,Rows,FirstDate,LastDate,Error
ID1000085707,603512510,OB8,EUR,OK,265,2022-12-16,2023-12-29,
ID1000086002,603482814,GH8,EUR,OK,180,2023-04-19,2023-12-29,
ID1000092703,579523778,PTQ,EUR,OK,353,2022-08-16,2023-12-29,
ID1000094006,435747588,TBA,EUR,OK,882,2020-07-21,2023-12-29,
ID1000095003,603509157,PQ9,EUR,OK,265,2022-12-16,2023-12-29,
ID1000096605,603509319,BKE1,EUR,OK,265,2022-12-16,2023-12-29,
ID1000097405,603524567,IDO1,EUR,OK,265,2022-12-16,2023-12-29,
ID1000099302,505978988,BOZA,EUR,OK,621,2021-08-02,2023-12-29,
ID1000099807,603509879,QGI,EUR,OK,265,2022-12-16,2023-12-29,
ID1000102205,603524313,HX1A,EUR,OK,265,2022-12-16,2023-12-29,
ID1000102502,603519604,E5F,EUR,OK,265,2022-12-16,2023-12-29,
ID1000103203,603513724,P5TA,EUR,OK,265,2022-12-16,2023-12-29,
ID1000104003,603526695,T9Q,EUR,OK,265,2022-12-16,2023-12-29,
ID1000106206,603518237,5M2,EUR,OK,265,2022-12-16,2023-12-29,
ID1000106602,434063021,AKTA,EUR,OK,888,2020-07-14,2023-12-29,
ID1000106800,603512817,SMS2,EUR,OK,265,2022-12-16,2023-12-29,
ID1000108103,603531746,0JM,EUR,OK,265,2022-12-16,2023-12-29,
ID1000108509,603522811,3IB,EUR,OK,265,2022-12-16,2023-12-29,
ID1000108905,521963118,LK4B,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: LK4B@SMART Trades
ID1000109309,603515559,XT3B,EUR,OK,265,2022-12-16,2023-12-29,
ID1000109507,603509920,BZG2,EUR,OK,265,2022-12-16,2023-12-29,
ID1000111305,435747585,A64,EUR,OK,886,2020-07-21,2023-12-29,
ID1000111602,603509597,PGB1,EUR,OK,265,2022-12-16,2023-12-29,
ID1000111800,603515973,TIH1,EUR,OK,265,2022-12-16,2023-12-29,
ID1000113202,603516908,7B7,EUR,OK,265,2022-12-16,2023-12-29,
ID1000115207,198243891,MLQ2,EUR,OK,1276,2019-01-02,2023-12-29,
ID1000115306,603512545,PUWA,EUR,OK,265,2022-12-16,2023-12-29,
ID1000116601,603518397,44H,EUR,OK,265,2022-12-16,2023-12-29,
ID1000116700,603513771,48I,EUR,OK,265,2022-12-16,2023-12-29,
ID1000116908,603514602,6TB,EUR,OK,265,2022-12-16,2023-12-29,
ID1000117005,603530309,07K,EUR,OK,265,2022-12-16,2023-12-29,
ID1000117609,603529291,BUR,EUR,OK,265,2022-12-16,2023-12-29,
ID1000117708,603519152,0CP1,EUR,OK,265,2022-12-16,2023-12-29,
ID1000118201,603524131,BYRA,EUR,OK,265,2022-12-16,2023-12-29,
ID1000122500,603525564,P04,EUR,OK,265,2022-12-16,2023-12-29,
ID1000122807,128661345,ASJA,EUR,OK,1276,2019-01-02,2023-12-29,
ID1000129000,603515300,TCID,EUR,OK,265,2022-12-16,2023-12-29,
ID1000162001,603524860,5E9,EUR,OK,265,2022-12-16,2023-12-29,
IE0000669501,35627056,GL9,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:BEST queries are not supported for this contract
IE0000QBK8U7,518903684,TSEOQ,USD,OK,1258,2019-01-02,2023-12-29,
IE00013A2XD6,603482404,CBUQ,EUR,OK,265,2022-12-16,2023-12-29,
IE0001QF56M0,659764475,CHIN,EUR,OK,52,2023-10-17,2023-12-29,
IE0001UQQ933,638561572,GERD,EUR,OK,135,2023-06-22,2023-12-29,
IE0002424939,15778640,DCC,EUR,OK,266,2022-12-15,2023-12-29,
IE00028H9QJ8,503836714,XGUE,EUR,OK,628,2021-07-21,2023-12-29,
IE0003864109,100813788,GNC,GBP,OK,1261,2019-01-02,2023-12-29,
IE0003LFZ4U7,505002201,DOLE,USD,OK,609,2021-07-30,2023-12-29,
IE0003RQ9F90,768809592,QQQE,USD,FAILED,0,,,Timeout
IE0003ZXNJY5,542125672,WOOE,EUR,OK,492,2022-01-31,2023-12-29,
IE00045C7B38,798837403,HTOO,USD,OK,1020,2019-01-02,2023-12-29,
IE0004906560,12599265,KRZ,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:BEST queries are not supported for this contract
IE0004927939,29281825,KRX,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:BEST queries are not supported for this contract
IE0005711209,121810224,ICLR,USD,OK,1258,2019-01-02,2023-12-29,
IE0005HNE843,837659377,WTVE,EUR,FAILED,0,,,Timeout
IE0005YK6564,560062321,URNP,GBP,OK,415,2022-05-09,2023-12-29,
IE0006K7DEL9,663577693,GCOR,EUR,OK,40,2023-11-02,2023-12-29,
IE0006WPPA00,870488083,NUKZ,EUR,FAILED,0,,,Timeout
IE0008470928,10368791,EUN1,EUR,OK,1276,2019-01-02,2023-12-29,
IE0008471009,10368780,EUN2,EUR,OK,1286,2019-01-02,2023-12-29,
IE0008LRGGP4,815816884,ASWN,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: ASWN@SMART Trades
IE0008TKP6O7,668159979,LESU,EUR,OK,1272,2019-01-02,2023-12-29,
IE0008YN0OY8,642689373,XWEB,USD,OK,116,2023-07-18,2023-12-29,
IE000955MAJ1,673814708,KEU,EUR,OK,265,2022-12-16,2023-12-29,
IE0009DRDY20,744399607,F50A,EUR,FAILED,0,,,Timeout
IE0009IAUUI1,859371961,UYLD,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: UYLD@SMART Trades
IE0009W21NT4,725323361,WDESGE,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: WDESGE@SMART Trades
IE000ASNLWH9,793651072,BPGE,EUR,FAILED,0,,,Timeout
IE000BNLRWE6,818259164,SAEG,GBP,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: SAEG@SMART Trades
IE000BS9KP42,767907345,JLDO,GBP,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: JLDO@SMART Trades
IE000CL68Z69,669989804,PABW,EUR,OK,16,2023-12-06,2023-12-29,
IE000DQLYVB9,789278721,SPEA,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: SPEA@SMART Trades
IE000EPIJ442,757579324,GLDSL,USD,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: GLDSL@SMART Trades
IE000F472DU7,504513998,DRGE,EUR,OK,626,2021-07-23,2023-12-29,
IE000GID8VI0,498661851,GHRS,USD,OK,633,2021-06-25,2023-12-29,
IE000H3AH951,725271685,CSYZ,EUR,OK,896,2020-06-30,2023-12-29,
IE000I8KRLL9,507487999,SEC0,EUR,OK,613,2021-08-11,2023-12-29,
IE000IDLWOL4,633694262,XEWE,EUR,OK,154,2023-05-26,2023-12-29,
IE000J3F4J90,571643283,HSJS,GBP,OK,360,2022-07-27,2023-12-29,
IE000J80JTL1,557964615,FGRD,GBP,OK,424,2022-04-25,2023-12-29,
IE000JJPY166,745200069,YCSH,EUR,FAILED,0,,,Timeout
IE000JR51TI1,766479763,VDTD,EUR,FAILED,0,,,Timeout
IE000K5F6EL4,797511636,RDVY,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: RDVY@SMART Trades
IE000KLC2EN9,868938564,WDGF,USD,FAILED,0,,,Timeout
IE000MJIXFE0,665375491,WEBC,EUR,OK,33,2023-11-13,2023-12-29,
IE000N0TTJQ9,665137149,AIPT,EUR,OK,34,2023-11-10,2023-12-29,
IE000NDWFGA5,557964621,URNG,GBP,OK,424,2022-04-25,2023-12-29,
IE000NFR7C63,553753594,CTEC,USD,OK,440,2022-04-04,2023-12-29,
IE000OW54ZX1,854519048,AVUS,USD,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: AVUS@SMART Trades
IE000P2CI9P3,877926440,EURP,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:Die HMDS-Anfrage ergab keine Daten: EURP@SMART Trades
IE000QQ8Z0D8,666737910,LYYB,EUR,OK,28,2023-11-20,2023-12-29,
IE000R94NGM2,794909199,JHX,USD,OK,1258,2019-01-02,2023-12-29,
IE000RDRMSD1,590682395,BLKC,USD,OK,313,2022-10-11,2023-12-29,
IE000S9YS762,617155589,LIN,EUR,OK,1270,2019-01-02,2023-12-29,
IE000T78CHJ8,772475191,GWMO,GBP,OK,1261,2019-01-02,2023-12-29,
IE000TSML5I8,546952173,XRME,EUR,OK,471,2022-02-28,2023-12-29,
IE000UJSC3C9,822735378,B29I,EUR,FAILED,0,,,Timeout
IE000WX7BVB0,669987595,JEGA,EUR,OK,15,2023-12-07,2023-12-29,
IE000X1GW0A7,875859416,WIMI,EUR,FAILED,0,,,Timeout
IE000XFXBGR0,725271707,CSY8,EUR,OK,896,2020-06-30,2023-12-29,
IE000XOQ9TK4,574918143,XNGS,GBP,OK,360,2022-07-27,2023-12-29,
IE000Y2BJVK9,726080134,30IA,EUR,FAILED,0,,,Timeout
IE000YBGJ9I4,745200074,MEGA,EUR,FAILED,0,,,Timeout
IE000YGEAK03,699007817,QGRW,EUR,FAILED,0,,,Timeout
IE000YR7N5U8,828647088,OBUS,EUR,FAILED,0,,,Timeout
IE0031442068,16683050,IUSA,GBP,OK,1261,2019-01-02,2023-12-29,
IE0032077012,18706552,EQQQ,EUR,OK,1273,2019-01-02,2023-12-29,
IE00B00MZ448,136348477,GFTU,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B010DT83,386546301,CCR,GBP,OK,1067,2019-10-08,2023-12-29,
IE00B0M62X26,36773823,IBCI,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B0M63060,36773818,IUKD,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B1FZS913,43614368,IBCL,EUR,OK,1284,2019-01-02,2023-12-29,
IE00B1FZSF77,42492938,IUSP,EUR,OK,1282,2019-01-02,2023-12-29,
IE00B1TXHL60,43490715,IPRV,USD,OK,1260,2019-01-03,2023-12-29,
IE00B1TXK627,43490722,IH2O,USD,OK,1260,2019-01-03,2023-12-29,
IE00B1WV4493,314049837,OIZ,EUR,FAILED,0,,,162: Service für historische Marktdaten - Fehlermeldung:BEST queries are not supported for this contract
IE00B23D8S39,47902015,6PSA,EUR,OK,1286,2019-01-02,2023-12-29,
IE00B23D9570,47901998,PEH,EUR,OK,1272,2019-01-02,2023-12-29,
IE00B23LNQ02,68490297,PSRW,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B27YCF74,50911548,WOOD,USD,OK,1259,2019-01-03,2023-12-29,
IE00B2NPKV68,59262740,SEMB,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B2QWCY14,59793630,ISP6,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B2QWDR12,59793640,ISFE,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B41RYL63,89402010,SYBA,EUR,FAILED,0,,,"2174: Warnung!: Sie haben eine Anfrage mit Datum-Zeit-Attributen ohne explizite Zeitzone übermittelt. Bitte verwenden Sie das Format yyyymmdd-hh:mm:ss in UTC oder verwenden Sie die Zeitzone des Instruments, z. B. US/Eastern. Die Funktion, die eine implizite Zeitzone erlaubt, wird in der nächsten API-Version entfernt. | Timeout"
IE00B428Z604,107113306,IS0P,EUR,FAILED,0,,,Timeout
IE00B42NKQ00,212969176,IUES,USD,OK,1261,2019-01-02,2023-12-29,
IE00B42WWV65,107968737,VGOV,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B43HR379,212969266,IHCU,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B43QJJ40,304818683,SYBZ,EUR,OK,1272,2019-01-02,2023-12-29,
IE00B44CGS96,94304170,IUAG,USD,OK,1261,2019-01-02,2023-12-29,
IE00B44CND37,89385017,SYBT,EUR,OK,1276,2019-01-02,2023-12-29,
IE00B44T3H88,83570158,HMCD,USD,OK,1261,2019-01-02,2023-12-29,
IE00B44Z5B48,89384960,SPYY,EUR,OK,1286,2019-01-02,2023-12-29,
IE00B459R192,89385014,SYBU,EUR,FAILED,0,,,Timeout
IE00B4613386,89384959,SYBM,EUR,OK,1276,2019-01-02,2023-12-29,
IE00B466KX20,89384970,SPYA,EUR,OK,1276,2019-01-02,2023-12-29,
IE00B4694Z11,107439884,SYBS,EUR,FAILED,0,,,Timeout
IE00B469F816,89384980,SPYM,EUR,OK,1276,2019-01-02,2023-12-29,
IE00B46G8275,86281326,HIDR,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B48X4842,89384987,SPYX,EUR,OK,1273,2019-01-02,2023-12-29,
IE00B4BNMY34,67889930,ACN,USD,OK,1258,2019-01-02,2023-12-29,
IE00B4JNQZ49,212969230,IUFS,USD,OK,1261,2019-01-02,2023-12-29,
IE00B4K6B022,69304874,H50E,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B4KBBD01,270617987,IUUS,USD,OK,1261,2019-01-02,2023-12-29,
IE00B4L5Y983,69169660,SWDA,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B4L5ZG21,69169645,EEXF,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B4L5ZY03,78999745,EUNS,EUR,FAILED,0,,,Timeout
IE00B4LN9N13,270617974,IISU,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B4M7GH52,83007898,IPOL,USD,OK,1261,2019-01-02,2023-12-29,
IE00B4MCHD36,212969116,IUCD,USD,OK,1261,2019-01-02,2023-12-29,
IE00B4MKCJ84,270617980,IUMS,USD,OK,1261,2019-01-02,2023-12-29,
IE00B4PY7Y77,94305746,IHYU,USD,OK,1261,2019-01-02,2023-12-29,
IE00B4Q5ZN47,100430853,JAZZ,USD,OK,1258,2019-01-02,2023-12-29,
IE00B4QNHH68,68489900,DEL2,EUR,OK,1261,2019-01-02,2023-12-29,
IE00B4WXJG34,68490060,EUN9,EUR,FAILED,0,,,Timeout
IE00B4WXJH41,68490071,EUN8,EUR,FAILED,0,,,Timeout
IE00B4WXJJ64,68490077,EUNH,EUR,OK,1270,2019-01-02,2023-12-29,
IE00B4X9L533,81752834,HMWO,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B4YBJ215,101772094,SPY4,USD,OK,1261,2019-01-02,2023-12-29,
IE00B52MJD48,77956638,SXRZ,EUR,OK,1276,2019-01-02,2023-12-29,
IE00B52MJY50,78999246,CPJ1,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B52SF786,75098201,SXR2,EUR,OK,1286,2019-01-02,2023-12-29,
IE00B52SFT06,72083288,CSUS,USD,OK,1260,2019-01-03,2023-12-29,
IE00B52VJ196,84820259,IESG,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B539F030,72083262,CSUK,GBP,OK,1260,2019-01-03,2023-12-29,
IE00B53H0131,82610049,CCUSAS,USD,FAILED,0,,,Timeout
IE00B53HP851,74707804,CSUKX,GBP,OK,1260,2019-01-03,2023-12-29,
IE00B53L4350,75961310,CSINDU,USD,OK,1260,2019-01-03,2023-12-29,
IE00B53QDK08,78999188,CSJP,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B53SZB19,75961314,CNDX,USD,OK,1260,2019-01-03,2023-12-29,
IE00B57X3V84,84820265,IGSU,USD,OK,1261,2019-01-02,2023-12-29,
IE00B5B5TG76,80814730,S6X0,EUR,OK,1277,2019-01-02,2023-12-29,
IE00B5BD5K76,75979964,HMEU,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B5BMR087,75776072,SXR8,EUR,OK,1286,2019-01-02,2023-12-29,
IE00B5KQNG97,75308229,HSPX,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B5L01S80,90129279,HPRO,GBP,OK,1261,2019-01-02,2023-12-29,
IE00B5L8K969,78767919,CEBL,EUR,OK,1276,2019-01-02,2023-12-29,
IE00B5M1WJ87,103512838,SPYW,EUR,OK,1282,2019-01-02,2023-12-29,
IE00B5M4WH52,90042965,IEML,USD,OK,1261,2019-01-02,2023-12-29,
IE00B5MJYB88,74991829,SC0Q,EUR,FAILED,0,,,Timeout
IE00B5MJYC95,74991839,SC0R,EUR,FAILED,0,,,Timeout
IE00B5MJYX09,74991834,SC0S,EUR,OK,1276,2019-01-02,2023-12-29,
IE00B5MJYY16,74992061,SC0T,EUR,FAILED,0,,,Timeout
IE00B5MTWD60,74992014,SC0U,EUR,OK,1277,2019-01-02,2023-12-29,
IE00B5MTWH09,74991795,SC0V,EUR,FAILED,0,,,Timeout
IE00B5MTWY73,74991798,SC0W,EUR,FAILED,0,,,Timeout
IE00B5MTWZ80,74991783,SC0X,EUR,OK,1276,2019-01-02,2023-12-29,
IE00B5MTXJ97,74991819,SC0Y,EUR,FAILED,0,,,Timeout
IE00B5MTXK03,74991864,SC0Z,EUR,FAILED,0,,,Timeout
IE00B5MTY077,74991968,SC00,EUR,FAILED,0,,,Timeout
IE00B5MTY309,74992143,SC01,EUR,FAILED,0,,,Timeout
IE00B5MTYK77,80814674,SC02,EUR,FAILED,0,,,Timeout
IE00B5MTYL84,79383285,SC03,EUR,FAILED,0,,,Timeout
IE00B5MTZ488,74991905,SC06,EUR,FAILED,0,,,Timeout
IE00B5MTZ595,75098189,SC04,EUR,FAILED,0,,,Timeout
