ISIN,Stage,Error
AU0000066169,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000067092,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000067936,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000068579,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000071482,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000072019,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000072506,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000082489,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000086530,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000088064,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000088338,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000090292,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000102154,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000103087,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000134389,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000134694,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000141533,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000142945,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000143729,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000146961,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000150898,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000153256,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000153280,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
AU0000155335,HeadTimestamp,162: Service für historische Marktdaten - Fehlermeldung:Historical data request pacing violation
