date,slot,action,key,ISIN,Symbol,conId,Currency,price,slot_value,momentum_signal,avg_turnover_signal,reason
2019-03-25,12,BUY,44205169,AU000000RMS4,RMS,44205169,AUD,0.89,0.005546391752577319,0.693069306930693,6229440.3515,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-25,56,BUY,48880568,ES0142090317,OHLA,48880568,EUR,0.9329,0.009012920510770695,0.6529215358931553,5803694.912219999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-25,87,BUY,129131475,US2220702037,COTY,129131475,USD,11.23,0.00808070175438597,0.5485636114911081,1088236.1535,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-26,52,SELL,201942684,US98954M2008,Z,201942684,USD,35.4,0.008468899521531095,0.0973072215422277,929570.6355000001,SELL_THRESHOLD_OR_INVALID
2019-03-26,52,BUY,70000954,AU000000MYR2,MYR,70000954,AUD,0.575,0.008468899521531095,0.5949367088607593,3003717.8775,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-03-29,50,SELL,52164436,DE000A0DJ6J9,S92,52164436,EUR,18.25,0.007893598615916953,-0.16727107887579318,1853205.9370000002,SELL_THRESHOLD_OR_INVALID
2019-03-29,50,BUY,47419150,JP3431300007,4565,47419150,JPY,1505.0,0.007893598615916953,0.48667324777887466,4235527535.0,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-02,2,SELL,268277552,CA22717L1013,CRON,268277552,CAD,24.28,0.008516310066643282,-0.18547595682041218,87590634.765,SELL_THRESHOLD_OR_INVALID
2019-04-02,2,BUY,286166033,JP3780050005,3993,286166033,JPY,6110.0,0.008516310066643282,0.514041514041514,950160850.0,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-09,42,SELL,292735472,US81141R1005,SE,292735472,USD,22.1,0.008882524431304915,0.44100580270793044,997277.5435,SELL_THRESHOLD_OR_INVALID
2019-04-09,42,BUY,250083553,DE000A1TNV91,ADE,250083553,EUR,31.95,0.008882524431304915,0.9688221709006928,2169431.634,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-15,14,SELL,190480965,US29786A1060,ETSY,190480965,USD,66.2,0.00928080751436983,0.19612147822905235,974939.7660000001,SELL_THRESHOLD_OR_INVALID
2019-04-15,73,SELL,291995344,US8753722037,TNDM,291995344,USD,61.65,0.009780162971018662,0.2205138186064617,980587.4885000002,SELL_THRESHOLD_OR_INVALID
2019-04-15,14,BUY,89258385,BMG864081044,SLP,89258385,GBP,31.76,0.00928080751436983,0.5577889447236182,3032786.425,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-15,73,BUY,77478945,GB00B3MBS747,OCDO,77478945,GBP,1407.0,0.009780162971018662,0.5408388520971303,2846140841.0,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-17,36,SELL,324532871,GB00BFYF6298,KGH,324532871,GBP,276.0,0.010279329608938546,0.03551401869158877,930829.25,SELL_THRESHOLD_OR_INVALID
2019-04-17,36,BUY,168731675,DE000ZAL1111,ZAL,168731675,EUR,41.62,0.010279329608938546,0.558305211848519,31771607.741499998,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-19,92,SELL,42889783,IT0003697080,GEO,42889783,EUR,1.5832,0.009449119665771407,0.15663354763296322,977758.373105,SELL_THRESHOLD_OR_INVALID
2019-04-19,92,BUY,61673962,GG00B2R9PM06,CHAR,61673962,GBP,4.3727,0.009449119665771407,0.6469679849340868,7139262.5071399985,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-22,4,SELL,312029611,US46267X1081,IQ,312029611,USD,23.98,0.008816176470588239,-0.15966690803765382,1838904.9980000001,SELL_THRESHOLD_OR_INVALID
2019-04-22,4,BUY,332109293,CA16106R1091,CWEB,332109293,CAD,27.15,0.008816176470588239,0.506887052341598,13611601.9545,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-23,6,SELL,11652136,DE0005558696,PGN,11652136,EUR,30.46,0.0069706297043448055,0.6569832402234639,953590.9885000002,SELL_THRESHOLD_OR_INVALID
2019-04-23,6,BUY,273544,US7475251036,QCOM,273544,USD,87.2,0.0069706297043448055,0.5417840375586853,15984143.113500003,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-24,24,SELL,47419140,JP3127700007,4563,47419140,JPY,837.0,0.00798962788430289,-0.27647058823529413,8468070135.0,SELL_THRESHOLD_OR_INVALID
2019-04-24,76,SELL,339001919,KYG851581069,STNE,339001919,USD,27.0,0.005072932897712996,-0.1635198921105867,2057500.023,SELL_THRESHOLD_OR_INVALID
2019-04-24,24,BUY,258999725,JE00BYVQYS01,IWG,258999725,GBP,342.4,0.00798962788430289,0.494773519163763,622467260.115,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-24,76,BUY,140073516,CA14150G4007,CJ,140073516,CAD,3.34,0.005072932897712996,0.44999999999999996,2440736.1230000006,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-25,81,SELL,709215810,IT0005599938,FCT,709215810,EUR,8.1174,0.008329382792057877,-0.1650765703054623,2710958.88631,SELL_THRESHOLD_OR_INVALID
2019-04-25,87,SELL,129131475,US2220702037,COTY,129131475,USD,11.16,0.008030332286638239,0.005424954792043302,997775.7289999999,SELL_THRESHOLD_OR_INVALID
2019-04-25,81,BUY,185731852,IT0005043507,OVS,185731852,EUR,1.8023,0.008329382792057877,0.45150474974056043,4549529.041795,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-25,87,BUY,247458271,GB00BZC0LC10,VCP,247458271,GBP,462.6,0.008030332286638239,0.3987878787878789,1696880.8699999999,TOP_LIQUID_MOMENTUM_CANDIDATE
2019-04-29,62,SELL,45004344,GB00B1XH2C03,FXPO,45004344,GBP,202.4,0.007787610619469034,-0.2712826333711692,491540943.025,SELL_THRESHOLD_OR_INVALID
