Symbol,ISIN,Name,marketplace_sym,marketplace_exchange,marketplace_turnover,marketplace_last_error
84Q.XFRA,NO0010893902,PROXIMAR SEAFD NK-10,PROXI.XOSL/XOSL,XOSL,2760758.8600,Marketstack-Validierung: Symbol/MIC nicht gefunden
850.XFRA,GB0006963689,PORVAIR PLC,PRV.XLON/XLON,XLON,78090850.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
85C.XFRA,ID1000098205,BANK PERMATA TBK PT,BBCA.XIDX/XIDX,XIDX,11182857126675.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
86W.XFRA,GB00BLTVCF91,"SHOE ZONE PLC LS-,01",SHOE.XLON/XLON,XLON,98285900.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
879.XFRA,SE0015657853,DESENIO HOLDING AB,DSNO.XSTO/XSTO,XSTO,238301.7620,Marketstack-Validierung: Symbol/MIC nicht gefunden
87I.XFRA,SE0016609846,FLAT CAPITAL AB B,FLAT.B.XSTO/XSTO,XSTO,243525928.3200,Marketstack-Validierung: Symbol/MIC nicht gefunden
885.XFRA,CA5791761086,MCAN MORTGAGE CORP.,MKP.XTSE/XTSE,XTSE,13921910.8700,Marketstack-Validierung: Symbol/MIC nicht gefunden
88K.XFRA,GB00BSM98843,"DIRECTA PLUS PLC LS-,0025",DCTA.XLON/XLON,XLON,5172854.5000,Marketstack-Validierung: Symbol/MIC nicht gefunden
8BE.XFRA,CA08184N1006,Bengal Energy Ltd,BNG.XTSE/XTSE,XTSE,13437.2050,Marketstack-Validierung: Symbol/MIC nicht gefunden
8CP.XFRA,CA1375842079,CANFOR PULP PRODUCTS INC.,CFX.XTSE/XTSE,XTSE,209848.3600,Marketstack-Validierung: Symbol/MIC nicht gefunden
8D9.XFRA,AU0000432536,UNITY METALS LTD,8D9.XFRA/XFRA,XFRA,14950.0000,Marketstack-Validierung: Name passt nicht (Science in Sport plc)
8FG.XFRA,PLWDPCK00017,WOODPECKER.CO ZY -10,WPR.XWAR/XWAR,XWAR,176629.6800,Marketstack-Validierung: Symbol/MIC nicht gefunden
8GQ.XFRA,FR0014003J32,NAM.R S.A. EO -20,8GQ.XFRA/XFRA,XFRA,0.0000,Marketstack-Validierung: Name passt nicht (namR Société anonyme)
8GW.XFRA,IE000T78CHJ8,Great Western Mining Corporation PLC,8GW.XFRA/XFRA,XFRA,2.5000,Marketstack-Validierung: Name passt nicht ()
8HJ.XFRA,US51509P1030,LANDSEA HOMES CORP. O.N.,LSEA/XNAS,XNAS,41224223.9000,Marketstack-Validierung: Symbol/MIC nicht gefunden
8I4.XFRA,FI0009900187,"NURMINEN LOG.OYJ A EO1,70",NLG1V.XHEL/XHEL,XHEL,167709.3940,Marketstack-Validierung: Symbol/MIC nicht gefunden
8I7.XFRA,CA3686501071,GEMINA LABS LTD,8I7.XFRA/XFRA,XFRA,9.0000,Marketstack-Validierung: Name passt nicht (Gemina Laboratories Ltd.)
8IL.XFRA,NO0005638858,OLAV THON A/S NK 1,OLT.XOSL/XOSL,XOSL,4254986.0000,Marketstack-Validierung: Symbol/MIC nicht gefunden
8IM1.XFRA,SE0014855029,Implantica AG,IMP-A-SDB.XSTO/XSTO,XSTO,6904127.9600,Marketstack-Validierung: Symbol/MIC nicht gefunden
